variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes	sensi_1	sensi_0	speci_1	speci_0	mutation_in_interest	mutation_not_in_interest	mutation_in_compared	mutation_not_in_compared
group_940	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_941	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_942	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_943	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_944	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_945	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_946	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_947	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_948	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_950	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
rusA	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
group_953	0.258	0.0605	0.804	0.244	0.981	0.0229		0.3333333333333333	0.6666666666666666	0.18333333333333332	0.8166666666666667	20	40	11	49
